pid,artist,label,_date,order,layout,collection,thumbnail,full,manifest
obj003,Stan Brakhage,"Black Ice, frames 294-1,294",1994,02,qatar_item,particlesinspace,"/img/derivatives/iiif/images/obj003/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj003/full/full/0/default.jpg,/img/derivatives/iiif/obj003/manifest.json
obj025,Steina and Woody Vasulka,"From Calligrams, frames 5100-5500",1970,24,qatar_item,particlesinspace,"/img/derivatives/iiif/images/obj025/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj025/full/full/0/default.jpg,/img/derivatives/iiif/obj025/manifest.json
obj019,Nam June Paik,From Videotape Study No. 3,1965,18,qatar_item,particlesinspace,"/img/derivatives/iiif/images/obj019/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj019/full/full/0/default.jpg,/img/derivatives/iiif/obj019/manifest.json
obj018,Nam June Paik,From Zen for Film,1965,17,qatar_item,particlesinspace,"/img/derivatives/iiif/images/obj018/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj018/full/full/0/default.jpg,/img/derivatives/iiif/obj018/manifest.json
obj024,Naomi Uman,"From Hand-Eye Coordination, frames 2,160-2,357",2002,23,qatar_item,particlesinspace,"/img/derivatives/iiif/images/obj024/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj024/full/full/0/default.jpg,/img/derivatives/iiif/obj024/manifest.json
obj008,Kelly Egan,"From finger petals, cross section",2002,07,qatar_item,particlesinspace,"/img/derivatives/iiif/images/obj008/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj008/full/full/0/default.jpg,/img/derivatives/iiif/obj008/manifest.json
obj020,Izabella Pruska-Oldenhof,From Song of the Firefly,2002,19,qatar_item,particlesinspace,"/img/derivatives/iiif/images/obj020/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj020/full/full/0/default.jpg,/img/derivatives/iiif/obj020/manifest.json
obj021,Jennifer Reeves,"From Landfill 16, frames 100-300, cross section",2011,20,qatar_item,particlesinspace,"/img/derivatives/iiif/images/obj021/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj021/full/full/0/default.jpg,/img/derivatives/iiif/obj021/manifest.json
obj009,Stan Brakhage,"From Rage Net, cross section",1988,08,qatar_item,particlesinspace,"/img/derivatives/iiif/images/obj009/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj009/full/full/0/default.jpg,/img/derivatives/iiif/obj009/manifest.json
obj023,Aldo Tambellini,From Black TV,1968,22,qatar_item,particlesinspace,"/img/derivatives/iiif/images/obj023/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj023/full/full/0/default.jpg,/img/derivatives/iiif/obj023/manifest.json
obj022,Harry Smith,"From Heaven and Earth Magic, frames 12,570-13,470",1957,21,qatar_item,particlesinspace,"/img/derivatives/iiif/images/obj022/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj022/full/full/0/default.jpg,/img/derivatives/iiif/obj022/manifest.json
obj007,Kelly Egan,"From cockroach, cross section",2002,06,qatar_item,particlesinspace,"/img/derivatives/iiif/images/obj007/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj007/full/full/0/default.jpg,/img/derivatives/iiif/obj007/manifest.json
obj013,Man Ray,"From Return to Reason, frames 615-690",1923,12,qatar_item,particlesinspace,"/img/derivatives/iiif/images/obj013/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj013/full/full/0/default.jpg,/img/derivatives/iiif/obj013/manifest.json
obj012,Len Lye,"From Particles in Space, frames 3932-4232",1979,11,qatar_item,particlesinspace,"/img/derivatives/iiif/images/obj012/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj012/full/full/0/default.jpg,/img/derivatives/iiif/obj012/manifest.json
obj006,Hollis Frampton,From Lemon,1969,05,qatar_item,particlesinspace,"/img/derivatives/iiif/images/obj006/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj006/full/full/0/default.jpg,/img/derivatives/iiif/obj006/manifest.json
obj010,Louise Bourque,"From Self Portrait Post Mortem, frames 80-460",2002,09,qatar_item,particlesinspace,"/img/derivatives/iiif/images/obj010/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj010/full/full/0/default.jpg,/img/derivatives/iiif/obj010/manifest.json
obj004,Mary Ellen Bute,"Dada, frames 1986-2071",1936,03,qatar_item,particlesinspace,"/img/derivatives/iiif/images/obj004/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj004/full/full/0/default.jpg,/img/derivatives/iiif/obj004/manifest.json
obj005,Mary Ellen Bute,From Dada,1936,04,qatar_item,particlesinspace,"/img/derivatives/iiif/images/obj005/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj005/full/full/0/default.jpg,/img/derivatives/iiif/obj005/manifest.json
obj011,Malcolm Le Grice,"From Threshold, frames 13,500-13,750",1972,10,qatar_item,particlesinspace,"/img/derivatives/iiif/images/obj011/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj011/full/full/0/default.jpg,/img/derivatives/iiif/obj011/manifest.json
obj015,Norman McLaren and Evelyn Lambart,"From Lines Vertical, frames 2880-3600",1962,14,qatar_item,particlesinspace,"/img/derivatives/iiif/images/obj015/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj015/full/full/0/default.jpg,/img/derivatives/iiif/obj015/manifest.json
obj001,Len Lye,Particles in Space title sequence,1979,00,qatar_item,particlesinspace,"/img/derivatives/iiif/images/obj001/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj001/full/full/0/default.jpg,/img/derivatives/iiif/obj001/manifest.json
obj014,Man Ray,"From Return to Reason, frames 345-424, cross section",1923,13,qatar_item,particlesinspace,"/img/derivatives/iiif/images/obj014/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj014/full/full/0/default.jpg,/img/derivatives/iiif/obj014/manifest.json
obj002,Len Lye,"Particles in Space, frames 3000-3200",1979,01,qatar_item,particlesinspace,"/img/derivatives/iiif/images/obj002/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj002/full/full/0/default.jpg,/img/derivatives/iiif/obj002/manifest.json
obj016,Norman McLaren and Evelyn Lambart,"From Lines Vertical, frames 3,840-4,560",1962,15,qatar_item,particlesinspace,"/img/derivatives/iiif/images/obj016/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj016/full/full/0/default.jpg,/img/derivatives/iiif/obj016/manifest.json
obj017,Norman McLaren and Evelyn Lambart,"From Lines Vertical, frames 3,840-4,560, overhead",1962,16,qatar_item,particlesinspace,"/img/derivatives/iiif/images/obj017/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj017/full/full/0/default.jpg,/img/derivatives/iiif/obj017/manifest.json
obj026,Steina and Woody Vasulka,"From Calligrams, frames 5100-5500, underside",1970,25,qatar_item,particlesinspace,"/img/derivatives/iiif/images/obj026/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj026/full/full/0/default.jpg,/img/derivatives/iiif/obj026/manifest.json
